"section","subsection","element","Value"
"Overview","Authorship","Study title","Uncertainty in blacklisting potential Pacific plant invaders using species distribution models"
"Overview","Authorship","Author names","Valén Holle; Anna Rönnfeldt; Katrin Schifferle; Damaris Zurell"
"Overview","Authorship","Contact ","valen.holle@uni-potsdam.de"
"Overview","Authorship","Study link",""
"Overview","Model objective","Model objective","Mapping and interpolation"
"Overview","Model objective","Target output","suitable vs. unsuitable habitat"
"Overview","Focal Taxon","Focal Taxon","Terrestrial plant species"
"Overview","Location","Location","Pacific region (49 island groups)"
"Overview","Scale of Analysis","Spatial extent",
"Overview","Scale of Analysis","Spatial resolution","1 km"
"Overview","Scale of Analysis","Temporal extent","1900-2023"
"Overview","Scale of Analysis","Temporal resolution","one studied time period (1900-2023)"
"Overview","Scale of Analysis","Boundary","political; natural"
"Overview","Biodiversity data","Observation type","citizen science"
"Overview","Biodiversity data","Response data type","presence-only"
"Overview","Predictors","Predictor types","climatic; edaphic"
"Overview","Hypotheses","Hypotheses","The species distributions are mainly determined by climate and soil."
"Overview","Assumptions","Model assumptions","We assumed that climate and soil are the key explanatory variables for species distributions, species are in equilibrium with environment, observation biases are insignificant"
"Overview","Algorithms","Modelling techniques","glm; gam; randomForest; brt"
"Overview","Algorithms","Model complexity","We used an intermediate level of model complexity to prevent overfitting for species with smaller sample sizes and to ensure that predictions to new places remain robust."
"Overview","Algorithms","Model averaging","We used the arithmetic mean to combine all four model algorithms into one ensemble."
"Overview","Workflow","Model workflow",""
"Overview","Software","Software","R 4.3.1 with terra 1.7.55, sf 1.0.16, sfheaders 0.4.3, ecospat 4.0.0, mgcv 1.8.42, randomForest 4.7.1.1, gbm 2.1.8.1, dismo 1.4.14, PresenceAbsence 1.1.11, tidyverse 2.0.0"
"Overview","Software","Code availability","In scripts folder of the repository"
"Overview","Software","Data availability",""
"Data","Biodiversity data","Taxon names",""
"Data","Biodiversity data","Taxonomic reference system","GBIF/BIEN backbone taxonomy"
"Data","Biodiversity data","Ecological level","species"
"Data","Biodiversity data","Data sources","GBIF and BIEN (accessed in June 2023)"
"Data","Biodiversity data","Sampling design","opportunistic"
"Data","Biodiversity data","Sample size","We used a minimum number of presences n = 40."
"Data","Biodiversity data","Clipping",""
"Data","Biodiversity data","Scaling","We spatially thinned the data to 3 km."
"Data","Biodiversity data","Cleaning","We removed duplicate observations; observations with missing coordinates, equal coordinates, coordinate uncertainty; coordinates within a 1,000 m radius of country centroids, within a 10,000 m radius of capitals, within a 100 m radius of biodiversity institutions, within 1° radius of GBIF headquarters in Copenhagen."
"Data","Biodiversity data","Absence data",""
"Data","Biodiversity data","Background data","We generated background data within a 300 km buffer around presence locations while excluding those. We derived 10 times as many background points as presence points."
"Data","Biodiversity data","Errors and biases",""
"Data","Data partitioning","Training data","GLMs and GAMs were fitted based on all data points. For RFs and BRTs, 10 replicate models in a presence-absence ratio of 1:1 were fitted."
